Timestamp,Gender,Faculty,Arts Program,Bachelor  Academic Year in EU,Masters Academic Year in EU,H.S.C or Equivalent study medium,S.S.C (GPA),H.S.C (GPA),Did you ever attend a Coaching center?,Coaching center name,Benifits you received from the coaching center,1st Year Semester 1,1st Year Semester 2,1st Year Semester 3,2nd Year Semester 1,2nd Year Semester 2,2nd Year Semester 3,3rd Year Semester 1,3rd Year Semester 2,3rd Year Semester 3,4th Year Semester 1,4th Year Semester 2,4th Year Semester 3,Regular/Irregular,Classes are mostly,Area of Evaluation [Department provides comprehensive guidelines to the students in advance by means of a brochure/handbook    ],Area of Evaluation [Department ensures a conducive learning environment],Area of Evaluation [Academic decisions are taken with fairness and transparency],Area of Evaluation [	Academic calendar is maintained properly],Area of Evaluation [Results are published timely in compliance with the ordinance],Area of Evaluation [Students opinion regarding academic and extra-academic matters are addressed properly],Area of Evaluation [Student feedback process is in practice],Area of Evaluation [Website is informative and updated properly],Area of Evaluation [Curriculum load is optimum and induces no pressure],Area of Evaluation [Courses in the curriculum from lower level to higher are properly arranged],Area of Evaluation [Teaching strategies are clearly stated in the curriculumsparency],Area of Evaluation [Assessment strategies are clearly stated in the curriculum ],Item [Teaching-learning is interactive and supportive ],Item [	Class size is optimum for interactive teaching learning],Item [	Modern devices are used to improve teaching-learning process],Item [Diverse methods are used to achieve learning objectives ],Item [Lesson plans/course outlines are provided in advance to the students ],Item [	All about assessment system are duly communicated to students on the commencement of the term/semester],Item [Assessment system meets the objectives of the course],Item [Diverse methods and tools are used for assessment.],Item [Assessment feedback is provided to the students immediately.],Item [The questions of examinations reflect the content of the course.],"Item [	Both formative (quizzes, assignments, term papers, continuous assessments, presentations etc.) and summative assessment (final examination only) strategies are followed.]",Item [Admission policy ensures entry of quality students.],Item [Admission procedure is quite fair],Item [Sincerity and commitment of the students exist to ensure desired progress and achievement.],Item [Overall classroom facilities are suitable for ensuring effective learning.],Item [Laboratories facilities are suitable for practical teaching-learning and research],Item [The library has adequate up-to-date reading and reference materials to meet the academic & research needs ],Item [Internet facilities with sufficient speed are available],Item [Adequate indoor and outdoor medical facilities are available],Item [Adequate indoor and outdoor game facilities are available],Item [Existing gymnasium facilities are good enough],Item [Adequate safety measures are available],Item [There is an arrangement to provide guidance and counseling. ],Item [Mentoring is done to take care of the students],Item [Scholarships/ grants available to students in case of hardship],Item [Students are encouraged to involve in co- curricular and extra-curricular activities],Item [Alumni are organized and supportive.],Item [Supporting staff are adequate and co-operative],Item [There are opportunities to get involve with community services],Item [The department has a research and development policy ],Item [Mechanism exists for engaging the students in research and development],"Item [Research findings in the form of theses, publications and monographs are properly used in current teaching-learning]",Item [The department has a community service policy ],Q1 [What was your expectation about the University as related to quality of education?],Q2 [What was your expectation about the University as related to quality of Faculty?],Q3 [What was your expectation about the University as related to quality of resources?],Q4 [What was your expectation about the University as related to quality of learning environment?],Q5 [To what extent your expectation was met?],Q6 [What are the best aspects of the program?],"Q7. In your opinion,the best aspect of the program is","Q8. In your opinion,the next best aspect of the program is",What aspects of the program could be improved?,Do you feel that the quality of education improved at EU over the last year?,Do you feel that the image of the University improved over the last year?,Username
1/25/2016 15:06,Female,Arts,B.A. in English,3rd Year,,Bangla Medium,4.88,4.6,Yes,MABS Coaching center ,It prepared me better for the exam,3.75,3.61,3.49,3.52,3.38,3.34,3.14,,,,,,0.0,Lecture & Discussion,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,5.0,Faculty,Teaching/Learning,Resources,Yes,Yes,
1/25/2016 15:07,Female,Arts,B.A. in English,3rd Year,,Bangla Medium,4.81,5.0,Yes,Udvash,It improved my understanding of subject matter,3.58,3.48,3.48,3.4,3.4,3.43,3.4,3.37,,,,,0.0,Lecture & Discussion,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,Teaching/Learning,Faculty,"Faculty, Resources, Overall learning environment",Yes,No,
1/25/2016 15:08,Male,Arts,B.A. in English,2nd Year,,Bangla Medium,3.81,4.0,Yes,Unaid,It improved my understanding of subject matter,2.7,3.03,2.82,2.81,2.74,,,,,,,,0.0,"Lecture,Discussion & Practical Lab",4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,Teaching/Learning,Resources,Resources,Yes,Yes,
1/25/2016 15:11,Female,Arts,B.A. in English,2nd Year,,Bangla Medium,3.75,3.7,Yes,ucc,It improved my understanding of subject matter,1.64,1.83,2.06,2.36,2.4,2.42,,,,,,,0.0,Lecture & Discussion,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,Teaching/Learning,Teaching/Learning,Overall learning environment,Yes,Yes,
1/25/2016 15:13,Female,Arts,B.A. in English,2nd Year,,Bangla Medium,4.1,4.0,Yes,apex,It prepared me better for the exam,2.45,2.83,2.41,2.67,2.68,2.72,,,,,,,0.0,Lecture & Discussion,4.0,4.0,3.0,5.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,1.0,3.0,4.0,4.0,5.0,5.0,2.0,3.0,5.0,3.0,Teaching/Learning,Teaching/Learning,Overall learning environment,Yes,Yes,
1/25/2016 15:13,Female,Arts,B.A. in English,3rd Year,,Bangla Medium,4.19,4.7,Yes,,It prepared me better for the exam,3.59,3.65,3.57,3.59,3.57,3.57,3.54,,,,,,0.0,Lecture & Discussion,4.0,4.0,3.0,5.0,5.0,2.0,5.0,2.0,4.0,5.0,4.0,5.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,2.0,4.0,5.0,4.0,5.0,3.0,1.0,4.0,3.0,5.0,Faculty,Teaching/Learning,Resources,No,No,
1/25/2016 15:30,Female,Arts,B.A. in English,2nd Year,,Bangla Medium,3.81,3.3,Yes,Udvash,"It prepared me better for the exam, It improved my understanding of subject matter, It increased my desire to learn",3.16,3.56,3.54,3.55,3.55,3.57,,,,,,,0.0,Lecture & Discussion,4.0,4.0,1.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,2.0,4.0,4.0,5.0,4.0,2.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,5.0,4.0,2.0,1.0,1.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,Faculty,Teaching/Learning,Teaching/Learning,No,Yes,
1/25/2016 15:30,Female,Arts,B.A. in English,2nd Year,,Bangla Medium,5.0,4.75,Yes,"E. Haque
S@ifurs","It prepared me better for the exam, It improved my understanding of subject matter, It increased my desire to learn",3.75,3.78,3.79,3.8,3.78,,,,,,,,0.0,Lecture & Discussion,1.0,2.0,2.0,4.0,5.0,2.0,2.0,1.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,3.0,4.0,4.0,5.0,3.0,2.0,5.0,1.0,5.0,5.0,5.0,1.0,4.0,2.0,2.0,1.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,Faculty,Teaching/Learning,"Faculty, Teaching/Learning, Overall learning environment",No,Yes,
1/25/2016 16:03,Female,Arts,B.A. in English,2nd Year,,Bangla Medium,3.5,3.3,No,,,1.18,1.53,1.49,2.01,2.23,,,,,,,,0.0,Lecture based,,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,,2.0,2.0,4.0,5.0,,,5.0,4.0,2.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,,4.0,3.0,3.0,3.0,2.0,Teaching/Learning,Resources,"Resources, Teaching/Learning",Yes,Yes,
1/26/2016 13:52,Female,Arts,B.A. in English,1st Year,,Bangla Medium,3.05,3.35,Yes,e.haq coaching center,"It prepared me better for the exam, It improved my GPA Score, It improved my understanding of subject matter",3.57,3.57,,,,,,,,,,,0.0,Lecture & Discussion,4.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,5.0,Faculty,Teaching/Learning,Overall learning environment,Yes,Yes,
1/26/2016 14:07,Female,Arts,B.A. in English,1st Year,,Bangla Medium,5.0,4.7,Yes,UCC,It increased my desire to learn,3.82,3.7,,,,,,,,,,,0.0,Lecture & Discussion,5.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,2.0,5.0,4.0,2.0,2.0,3.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,5.0,Faculty,Teaching/Learning,"Resources, Teaching/Learning, Overall learning environment",Yes,Yes,
1/26/2016 14:13,Female,Arts,B.A. in English,1st Year,,Bangla Medium,5.0,4.0,Yes,renasa,It prepared me better for the exam,3.11,3.41,,,,,,,,,,,0.0,Lecture & Discussion,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,Teaching/Learning,Teaching/Learning,Faculty,,,
1/26/2016 14:16,Female,Arts,B.A. in English,1st Year,,Bangla Medium,5.0,5.0,Yes,MAAK Coaching,It prepared me better for the exam,3.34,3.6,,,,,,,,,,,0.0,Lecture & Discussion,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,2.0,Faculty,Overall learning environment,Resources,,,
1/26/2016 14:16,Female,Arts,B.A. in English,1st Year,,Bangla Medium,5.0,4.8,No,,,3.11,3.09,,,,,,,,,,,0.0,Lecture & Discussion,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,2.0,Faculty,Overall learning environment,Overall learning environment,,,
1/26/2016 14:16,Female,Arts,,,,Bangla Medium,4.5,4.3,No,,,2.68,2.59,,,,,,,,,,,0.0,Lecture & Discussion,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,2.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,Teaching/Learning,Overall learning environment,Overall learning environment,,,
1/26/2016 14:17,Female,Arts,,,,Bangla Medium,3.25,3.5,No,,,1.45,0.84,,,,,,,,,,,0.0,Lecture & Discussion,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,Other,Faculty,Teaching/Learning,Yes,Yes,
1/26/2016 14:36,Female,Arts,B.A. in English,1st Year,,Bangla Medium,5.0,4.2,Yes,UCC,It prepared me better for the exam,3.77,3.85,,,,,,,,,,,0.0,Lecture & Discussion,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,2.0,5.0,3.0,Teaching/Learning,Overall learning environment,"Faculty, Resources, Teaching/Learning, Overall learning environment, Other",Yes,Yes,
1/26/2016 14:38,Male,Arts,B.A. in English,1st Year,,Bangla Medium,4.69,3.4,No,,,3.07,3.05,,,,,,,,,,,0.0,Lecture & Discussion,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,Faculty,Teaching/Learning,Overall learning environment,,,
1/26/2016 14:40,Male,Arts,B.A. in English,4th Year,,Bangla Medium,4.06,4.9,No,,,2.45,2.58,,,,,,,,,,,0.0,"Lecture,Discussion & Practical Lab",5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,Teaching/Learning,Overall learning environment,Faculty,,,
1/26/2016 14:40,Female,Arts,B.A. in English,1st Year,,Bangla Medium,4.5,5.0,No,,,3.59,3.64,,,,,,,,,,,0.0,"Lecture,Discussion & Practical Lab",5.0,4.0,3.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,1.0,4.0,1.0,3.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,Faculty,Teaching/Learning,Resources,,,
1/26/2016 14:41,Female,Arts,B.A. in English,1st Year,,Bangla Medium,3.75,4.0,Yes,Porar Ghor,It improved my understanding of subject matter,2.86,3.13,,,,,,,,,,,0.0,"Lecture,Discussion & Practical Lab",4.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,5.0,Faculty,Teaching/Learning,Resources,,,
